Activity,OptionName,OptionWeight,Agriculture output,Utilities output,Utilities Office Support,Construction of Buildings output,Construction of Buildings Office Support,Construction Non-Building (including mining) output,Construction Non-Building (including mining) Office Support,Manufacturing output,Manufacturing Office Support,Wholesale and Warehousing output,Transportation Activity output,Retail Activity output,Professional and Business Services output,Professional and Business Services (Building Maintenance) output,Private Education K-12 output,Private Education Post K-12 and Other output,Health Services output,Amusement Services (events tracks theme parks country clubs) output,Personal Services Office Based output,Personal Services Retail Based output,Restaurants and Bars Activity output,Private Households output,Hotels Activity output,Religious Activity output,State and Local Government Enterprises Activity output,Public Education K-12 output,Public Education Post K-12 and Other output,State and Local Non-Education Activity output,State and Local Non-Education Activity Office Support,Federal Military Activity output,Federal Non-Military Activity output,Owner-Occupied Dwellings Management and Maintenance,Scrap and Other,Adjustments,K-12 Instruction,Air Pollution,Water Pollution,Solid Waste,Payroll Tax Receipts,Other Tax Receipts,Other Property Income Receipts,Indirect Business Tax Receipts,Capital Investment Certificates,Investment Earnings Receipts,Government Support Receipts,Other Transfers and Adjustments Receipts,Management Business Science and Arts Labor,Services Labor,Work at Home Labor,Sales and Office Labor,Natural Resources Construction and Maintenance Labor,Production Transportation and Material Moving Labor,Military Labor,Agriculture and Mining Space,Light Industrial Space,Heavy Industry Space,Office Space,Retail Space,Depot Space,Hotel Space,Primary Schools,Secondary Schools,Post-Secondary Institution Space,College Dormitory Space,Health Care Space,Religious Space,Recreation Space,Active Park Space,Government Operations Space,Spaced Rural Residential Economy,Spaced Rural Residential Luxury,Single Family Detached Residential Economy,Single Family Detached Residential Luxury,Single Family Attached Residential Economy,Single Family Attached Residential Luxury,Multi-Family Residential Economy,Multi-Family Residential Luxury,Mobile Home Residential,Military Residential (Non GQ),Post K-12 and Other Instruction,ResUnitSF,ResUnitMF,ResUnitMH,Agriculture output:1,Utilities output:1,Utilities Office Support:1,Construction of Buildings output:1,Construction of Buildings Office Support:1,Construction Non-Building (including mining) output:1,Construction Non-Building (including mining) Office Support:1,Manufacturing output:1,Manufacturing Office Support:1,Wholesale and Warehousing output:1,Transportation Activity output:1,Retail Activity output:1,Professional and Business Services output:1,Professional and Business Services (Building Maintenance) output:1,Private Education K-12 output:1,Private Education Post K-12 and Other output:1,Health Services output:1,Amusement Services (events tracks theme parks country clubs) output:1,Personal Services Office Based output:1,Personal Services Retail Based output:1,Restaurants and Bars Activity output:1,Private Households output:1,Hotels Activity output:1,Religious Activity output:1,State and Local Government Enterprises Activity output:1,Public Education K-12 output:1,Public Education Post K-12 and Other output:1,State and Local Non-Education Activity output:1,State and Local Non-Education Activity Office Support:1,Federal Military Activity output:1,Federal Non-Military Activity output:1,Owner-Occupied Dwellings Management and Maintenance:1,Scrap and Other:1,Adjustments:1,K-12 Instruction:1,Air Pollution:1,Water Pollution:1,Solid Waste:1,Payroll Tax Receipts:1,Other Tax Receipts:1,Other Property Income Receipts:1,Indirect Business Tax Receipts:1,Capital Investment Certificates:1,Investment Earnings Receipts:1,Government Support Receipts:1,Other Transfers and Adjustments Receipts:1,Management Business Science and Arts Labor:1,Services Labor:1,Work at Home Labor:1,Sales and Office Labor:1,Natural Resources Construction and Maintenance Labor:1,Production Transportation and Material Moving Labor:1,Military Labor:1,Agriculture and Mining Space:1,Light Industrial Space:1,Heavy Industry Space:1,Office Space:1,Retail Space:1,Depot Space:1,Hotel Space:1,Primary Schools:1,Secondary Schools:1,Post-Secondary Institution Space:1,College Dormitory Space:1,Health Care Space:1,Religious Space:1,Recreation Space:1,Active Park Space:1,Government Operations Space:1,Spaced Rural Residential Economy:1,Spaced Rural Residential Luxury:1,Single Family Detached Residential Economy:1,Single Family Detached Residential Luxury:1,Single Family Attached Residential Economy:1,Single Family Attached Residential Luxury:1,Multi-Family Residential Economy:1,Multi-Family Residential Luxury:1,Mobile Home Residential:1,Military Residential (Non GQ):1,Post K-12 and Other Instruction:1,ResUnitSF:1,ResUnitMF:1,ResUnitMH:1
Agriculture,Agriculture | Less Management Business Science and Arts Labor,0.002769875755046135,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729,-0.00798,0,-0.00206,0,-0.000429,0,-0.128,0,-0.0188,-0.0065,-0.00189,-0.0408,-0.000841,0,0,0,-0.000658,-0.00132,-0.00182,-0.000131,0,-0.00054,0,-0.0000157,0,0,0,0,0,-0.00016,0,-0.0000156,0,0,0,0,0,-0.0424,-0.0436,-0.269,-0.0117,0,0,0,0,-0.123,-0.0131,0,-0.0172,0,-0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agriculture | Less Natural Resources Construction and Maintenance Labor,0.002668463051018989,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729,-0.00798,0,-0.00206,0,-0.000429,0,-0.128,0,-0.0188,-0.0065,-0.00189,-0.0408,-0.000841,0,0,0,-0.000658,-0.00132,-0.00182,-0.000131,0,-0.00054,0,-0.0000157,0,0,0,0,0,-0.00016,0,-0.0000156,0,0,0,0,0,-0.0424,-0.0436,-0.269,-0.0117,0,0,0,0,0,-0.0131,0,-0.0172,-0.12,-0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agriculture | More Management Business Science and Arts Labor,0.001436927371389471,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729,-0.00798,0,-0.00206,0,-0.000429,0,-0.128,0,-0.0188,-0.0065,-0.00189,-0.0408,-0.000841,0,0,0,-0.000658,-0.00132,-0.00182,-0.000131,0,-0.00054,0,-0.0000157,0,0,0,0,0,-0.00016,0,-0.0000156,0,0,0,0,0,-0.0424,-0.0436,-0.269,-0.0117,0,0,0,0,-0.369,-0.0131,0,-0.0172,0,-0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agriculture | More Natural Resources Construction and Maintenance Labor,0.0054649286924254945,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729,-0.00798,0,-0.00206,0,-0.000429,0,-0.128,0,-0.0188,-0.0065,-0.00189,-0.0408,-0.000841,0,0,0,-0.000658,-0.00132,-0.00182,-0.000131,0,-0.00054,0,-0.0000157,0,0,0,0,0,-0.00016,0,-0.0000156,0,0,0,0,0,-0.0424,-0.0436,-0.269,-0.0117,0,0,0,0,0,-0.0131,0,-0.0172,-0.36,-0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agriculture | Normal,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729,-0.00798,0,-0.00206,0,-0.000429,0,-0.128,0,-0.0188,-0.0065,-0.00189,-0.0408,-0.000841,0,0,0,-0.000658,-0.00132,-0.00182,-0.000131,0,-0.00054,0,-0.0000157,0,0,0,0,0,-0.00016,0,-0.0000156,0,0,0,0,0,-0.0424,-0.0436,-0.269,-0.0117,0,0,0,0,-0.069,-0.0131,0,-0.0172,-0.116,-0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement Services,Amusement Services | Less Active Park Space | Less Management Business Science and Arts Labor,0.00039324660277561445,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117,-0.0122,0,-0.00799,0,-0.0000291,0,-0.0445,0,-0.00716,-0.00688,-0.00809,-0.17,-0.0289,0,-0.00465,-0.000332,-0.136,-0.000938,-0.00782,-0.00253,0,-0.00204,0,-0.0013,0,0,0,0,0,-0.00329,0,-0.00019,0,0,0,0,0,-0.0458,-0.0138,-0.0854,-0.0563,0,0,0,0,-0.149,0,-0.0181,0,-0.0116,-0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement Services,Amusement Services | Less Active Park Space | Less Sales and Office Labor,0.0004086548178588709,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117,-0.0122,0,-0.00799,0,-0.0000291,0,-0.0445,0,-0.00716,-0.00688,-0.00809,-0.17,-0.0289,0,-0.00465,-0.000332,-0.136,-0.000938,-0.00782,-0.00253,0,-0.00204,0,-0.0013,0,0,0,0,0,-0.00329,0,-0.00019,0,0,0,0,0,-0.0458,-0.0138,-0.0854,-0.0563,0,0,0,0,0,0,-0.0181,-0.144,-0.0116,-0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement Services,Amusement Services | Less Active Park Space | Less Services Labor,0.00039000232747751404,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117,-0.0122,0,-0.00799,0,-0.0000291,0,-0.0445,0,-0.00716,-0.00688,-0.00809,-0.17,-0.0289,0,-0.00465,-0.000332,-0.136,-0.000938,-0.00782,-0.00253,0,-0.00204,0,-0.0013,0,0,0,0,0,-0.00329,0,-0.00019,0,0,0,0,0,-0.0458,-0.0138,-0.0854,-0.0563,0,0,0,0,0,-0.148,-0.0181,0,-0.0116,-0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement Services,Amusement Services | Less Active Park Space | More Management Business Science and Arts Labor,0.00252231838278219,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117,-0.0122,0,-0.00799,0,-0.0000291,0,-0.0445,0,-0.00716,-0.00688,-0.00809,-0.17,-0.0289,0,-0.00465,-0.000332,-0.136,-0.000938,-0.00782,-0.00253,0,-0.00204,0,-0.0013,0,0,0,0,0,-0.00329,0,-0.00019,0,0,0,0,0,-0.0458,-0.0138,-0.0854,-0.0563,0,0,0,0,-0.446,0,-0.0181,0,-0.0116,-0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amusement Services,Amusement Services | Less Active Park Space | More Sales and Office Labor,0.00036473645217806246,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117,-0.0122,0,-0.00799,0,-0.0000291,0,-0.0445,0,-0.00716,-0.00688,-0.00809,-0.17,-0.0289,0,-0.00465,-0.000332,-0.136,-0.000938,-0.00782,-0.00253,0,-0.00204,0,-0.0013,0,0,0,0,0,-0.00329,0,-0.00019,0,0,0,0,0,-0.0458,-0.0138,-0.0854,-0.0563,0,0,0,0,0,0,-0.0181,-0.433,-0.0116,-0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
