TAZ,Commodity,Quantity
8044,Multi-Family Residential Economy,981.5
8044,Office Space,777.5
8045,Single Family Detached Residential Economy,745.25
8045,Multi-Family Residential Economy,981.5
8045,Office Space,777.5
8046,Government Operations Space,0
8047,Government Operations Space,0
8048,Government Operations Space,0
8049,Government Operations Space,0
8064,Single Family Attached Residential Economy,2203.8
8066,Single Family Attached Residential Economy,2203.8
8067,Single Family Attached Residential Economy,2203.8
8068,Single Family Attached Residential Economy,2203.8
8069,Single Family Attached Residential Economy,2203.8
8079,Single Family Attached Residential Economy,435.6666667
8079,Office Space,7221.333333
8079,Multi-Family Residential Economy,3545
8082,Single Family Attached Residential Economy,435.6666667
8082,Office Space,7221.333333
8082,Multi-Family Residential Economy,3545
8083,Single Family Attached Residential Economy,435.6666667
8083,Office Space,7221.333333
8083,Multi-Family Residential Economy,3545
8090,Single Family Attached Residential Economy,435.6666667
8090,Office Space,7221.333333
8090,Multi-Family Residential Economy,3545
8091,Single Family Attached Residential Economy,435.6666667
8091,Office Space,7221.333333
8091,Multi-Family Residential Economy,3545
8099,Single Family Attached Residential Economy,435.6666667
8099,Office Space,7221.333333
8099,Multi-Family Residential Economy,3545
8124,Multi-Family Residential Economy,2469.666667
8124,Retail Space,3253.666667
8124,Office Space,3042.666667
8125,Multi-Family Residential Economy,2469.666667
8125,Retail Space,3253.666667
8125,Office Space,3042.666667
8126,Multi-Family Residential Economy,2469.666667
8126,Retail Space,3253.666667
8126,Office Space,3042.666667
8137,Multi-Family Residential Economy,39012.75
8138,Multi-Family Residential Economy,39012.75
8139,Multi-Family Residential Economy,39012.75
8143,Multi-Family Residential Economy,39012.75
8739,Single Family Detached Residential Luxury,7176
8739,Single Family Attached Residential Economy,6055
8739,Multi-Family Residential Economy,3016
8774,Single Family Detached Residential Luxury,2566.333333
8775,Single Family Detached Residential Luxury,2566.333333
8776,Single Family Detached Residential Luxury,2566.333333
8777,Single Family Detached Residential Luxury,2566.333333
8778,Single Family Detached Residential Luxury,2566.333333
8780,Single Family Detached Residential Luxury,2566.333333
8810,Active Park Space,0
8810,Light Industrial Space,17458.83333
8810,Single Family Detached Residential Luxury,649
8810,Health Care Space,4882.333333
8810,Multi-Family Residential Economy,9776.833333
8811,Active Park Space,0
8811,Light Industrial Space,17458.83333
8811,Single Family Detached Residential Luxury,649
8811,Health Care Space,4882.333333
8811,Multi-Family Residential Economy,9776.833333
8812,Active Park Space,0
8812,Light Industrial Space,17458.83333
8812,Single Family Detached Residential Luxury,649
8812,Health Care Space,4882.333333
8812,Multi-Family Residential Economy,9776.833333
8813,Active Park Space,0
8813,Light Industrial Space,17458.83333
8813,Single Family Detached Residential Luxury,649
8813,Health Care Space,4882.333333
8813,Multi-Family Residential Economy,9776.833333
8814,Active Park Space,0
8814,Light Industrial Space,17458.83333
8814,Single Family Detached Residential Luxury,649
8814,Health Care Space,4882.333333
15180,Office Space,500
15180,Government Operations Space,830.1
15506,Single Family Detached Residential Luxury,380.75
15506,Office Space,1644
15506,Single Family Attached Residential Economy,566
15507,Single Family Detached Residential Luxury,380.75
15507,Office Space,1644
15507,Single Family Attached Residential Economy,566
15508,Single Family Detached Residential Luxury,380.75
15508,Office Space,1644
15508,Single Family Attached Residential Economy,566
15512,Single Family Detached Residential Luxury,5020
15512,Single Family Attached Residential Luxury,2598
15512,Multi-Family Residential Economy,4032
15512,Single Family Attached Residential Economy,1903
15512,Multi-Family Residential Luxury,38467
15978,Single Family Detached Residential Luxury,2263.6
15980,Single Family Detached Residential Luxury,2263.6
15983,Single Family Detached Residential Luxury,2263.6
15984,Single Family Detached Residential Luxury,2263.6
15988,Single Family Detached Residential Luxury,2263.6
15989,Single Family Detached Residential Luxury,2263.6
15990,Single Family Detached Residential Luxury,2263.6
15991,Single Family Attached Residential Economy,80.44444444
15991,Single Family Detached Residential Luxury,597.8333333
15992,Single Family Attached Residential Economy,80.44444444
15992,Single Family Detached Residential Luxury,597.8333333
15993,Single Family Attached Residential Economy,80.44444444
15993,Single Family Detached Residential Luxury,597.8333333
15994,Single Family Attached Residential Economy,80.44444444
15994,Single Family Detached Residential Luxury,597.8333333
16018,Single Family Attached Residential Economy,80.44444444
16018,Single Family Detached Residential Luxury,597.8333333
16025,Single Family Attached Residential Economy,80.44444444
16025,Single Family Detached Residential Luxury,597.8333333
16027,Single Family Attached Residential Economy,80.44444444
16027,Single Family Detached Residential Luxury,597.8333333
16031,Single Family Attached Residential Economy,80.44444444
16031,Single Family Detached Residential Luxury,597.8333333
16039,Single Family Attached Residential Economy,80.44444444
16039,Single Family Detached Residential Luxury,597.8333333
16040,Single Family Attached Residential Economy,80.44444444
16040,Single Family Detached Residential Luxury,597.8333333
16041,Single Family Attached Residential Economy,80.44444444
16041,Single Family Detached Residential Luxury,597.8333333
16042,Single Family Attached Residential Economy,80.44444444
16042,Single Family Detached Residential Luxury,597.8333333
16043,Single Family Attached Residential Economy,80.44444444
16043,Single Family Detached Residential Luxury,597.8333333
16044,Single Family Attached Residential Economy,80.44444444
16044,Single Family Detached Residential Luxury,597.8333333
16045,Single Family Attached Residential Economy,80.44444444
16045,Single Family Detached Residential Luxury,597.8333333
16082,Multi-Family Residential Luxury,458.8823529
16082,Single Family Detached Residential Luxury,376.8823529
16082,Multi-Family Residential Economy,172.2941176
16083,Multi-Family Residential Luxury,458.8823529
16083,Single Family Detached Residential Luxury,376.8823529
16083,Multi-Family Residential Economy,172.2941176
16084,Multi-Family Residential Luxury,458.8823529
16084,Single Family Detached Residential Luxury,376.8823529
16084,Multi-Family Residential Economy,172.2941176
16085,Multi-Family Residential Luxury,458.8823529
16085,Single Family Detached Residential Luxury,376.8823529
16085,Multi-Family Residential Economy,172.2941176
16086,Multi-Family Residential Luxury,458.8823529
16086,Single Family Detached Residential Luxury,376.8823529
16086,Multi-Family Residential Economy,172.2941176
16581,Health Care Space,0
16581,Hotel Space,8492
16581,Office Space,11291.75
16582,Health Care Space,0
16582,Hotel Space,8492
16582,Office Space,11291.75
16583,Health Care Space,0
16583,Single Family Detached Residential Luxury,2670.142857
16583,Primary Schools,6904.285714
16583,Multi-Family Residential Luxury,16782.71429
16583,Multi-Family Residential Economy,39433.71429
16584,Health Care Space,0
16584,Single Family Detached Residential Luxury,2670.142857
16584,Primary Schools,6904.285714
16584,Multi-Family Residential Luxury,16782.71429
16584,Multi-Family Residential Economy,39433.71429
16586,Health Care Space,0
16586,Hotel Space,8492
16586,Office Space,11291.75
17335,Single Family Detached Residential Luxury,254.0833333
17335,Multi-Family Residential Economy,351
17335,Single Family Attached Residential Economy,442
17335,Retail Space,574.1666667
17336,Single Family Detached Residential Luxury,254.0833333
17336,Multi-Family Residential Economy,351
17336,Single Family Attached Residential Economy,442
17336,Retail Space,574.1666667
17337,Single Family Detached Residential Luxury,254.0833333
17337,Multi-Family Residential Economy,351
17337,Single Family Attached Residential Economy,442
17337,Retail Space,574.1666667
17338,Single Family Detached Residential Economy,1225
17338,Single Family Attached Residential Economy,9911.4
17338,Single Family Detached Residential Luxury,17886.8
17338,Secondary Schools,6650.2
17338,Multi-Family Residential Economy,48578
17339,Single Family Detached Residential Economy,1225
17339,Single Family Attached Residential Economy,9911.4
17339,Single Family Detached Residential Luxury,17886.8
5656,Mobile Home Residential,55000
5657,Single Family Detached Residential Economy,11267.5
5659,Religious Space,0
5659,Single Family Attached Residential Economy,13520.6
5659,Single Family Detached Residential Economy,31277.2
5659,Mobile Home Residential,55000
5673,Single Family Detached Residential Economy,18961.5
5680,Single Family Detached Residential Economy,18961.5
6268,Single Family Attached Residential Economy,902.1111111
6268,Single Family Detached Residential Economy,1946.444444
6269,Single Family Attached Residential Economy,902.1111111
6269,Single Family Detached Residential Economy,1946.444444
6286,Single Family Detached Residential Economy,4152.7
6287,Single Family Detached Residential Economy,4152.7
6288,Single Family Detached Residential Economy,4152.7
6289,Single Family Detached Residential Economy,4152.7
6290,Single Family Detached Residential Economy,4152.7
6291,Single Family Detached Residential Economy,4152.7
6292,Single Family Detached Residential Economy,4152.7
6293,Single Family Detached Residential Economy,4152.7
6294,Single Family Detached Residential Economy,4152.7
6295,Single Family Detached Residential Economy,4152.7
7083,Recreation Space,0
7083,Multi-Family Residential Economy,49641.33333
7083,Multi-Family Residential Luxury,114491.6667
7084,Recreation Space,0
7084,Multi-Family Residential Economy,49641.33333
7084,Multi-Family Residential Luxury,114491.6667
7086,Recreation Space,0
7086,Multi-Family Residential Economy,49641.33333
7086,Multi-Family Residential Luxury,114491.6667
7089,Single Family Detached Residential Luxury,28763
7097,Office Space,0
7098,Office Space,0
7099,Office Space,0
7103,Light Industrial Space,3750
7104,Light Industrial Space,3750
7110,Light Industrial Space,3750
7114,Retail Space,46240
7129,Multi-Family Residential Economy,714.4
7129,Single Family Attached Residential Economy,2105.2
7129,Single Family Detached Residential Luxury,2729
7130,Multi-Family Residential Economy,714.4
7130,Single Family Attached Residential Economy,2105.2
7130,Single Family Detached Residential Luxury,2729
7131,Multi-Family Residential Economy,714.4
7131,Single Family Attached Residential Economy,2105.2
7131,Single Family Detached Residential Luxury,2729
7132,Multi-Family Residential Economy,714.4
7132,Single Family Attached Residential Economy,2105.2
7132,Single Family Detached Residential Luxury,2729
7133,Multi-Family Residential Economy,714.4
7133,Single Family Attached Residential Economy,2105.2
7133,Single Family Detached Residential Luxury,2729
7195,Retail Space,1320
7195,Light Industrial Space,0
7201,Retail Space,1320
7201,Light Industrial Space,0
7204,Retail Space,1320
7204,Light Industrial Space,0
7206,Retail Space,1320
7206,Light Industrial Space,0
8415,Office Space,48961
9027,Single Family Detached Residential Economy,120.4285714
9027,Multi-Family Residential Economy,598
9032,Single Family Detached Residential Economy,120.4285714
9032,Multi-Family Residential Economy,598
9034,Single Family Detached Residential Economy,1459.333333
9034,Single Family Attached Residential Economy,4030
9035,Single Family Detached Residential Economy,1459.333333
9035,Single Family Attached Residential Economy,4030
9036,Single Family Detached Residential Economy,1459.333333
9036,Single Family Attached Residential Economy,4030
9045,Health Care Space,384.125
9045,Single Family Detached Residential Economy,420
9045,Single Family Attached Residential Economy,1180.875
9045,Single Family Detached Residential Luxury,2120.875
9045,Multi-Family Residential Economy,3039
9046,Health Care Space,384.125
9046,Single Family Detached Residential Economy,420
9046,Single Family Attached Residential Economy,1180.875
9046,Single Family Detached Residential Luxury,2120.875
9046,Multi-Family Residential Economy,3039
9047,Health Care Space,384.125
9047,Single Family Detached Residential Economy,420
9047,Single Family Attached Residential Economy,1180.875
9047,Single Family Detached Residential Luxury,2120.875
9047,Multi-Family Residential Economy,3039
9048,Health Care Space,384.125
9048,Single Family Detached Residential Economy,420
9048,Single Family Attached Residential Economy,1180.875
9048,Single Family Detached Residential Luxury,2120.875
9048,Multi-Family Residential Economy,3039
9049,Health Care Space,384.125
9049,Single Family Detached Residential Economy,420
9049,Single Family Attached Residential Economy,1180.875
9049,Single Family Detached Residential Luxury,2120.875
9049,Multi-Family Residential Economy,3039
9050,Health Care Space,384.125
9050,Single Family Detached Residential Economy,420
9050,Single Family Attached Residential Economy,1180.875
9050,Single Family Detached Residential Luxury,2120.875
9050,Multi-Family Residential Economy,3039
9055,Health Care Space,384.125
9055,Single Family Detached Residential Economy,420
9055,Single Family Attached Residential Economy,1180.875
9055,Single Family Detached Residential Luxury,2120.875
9055,Multi-Family Residential Economy,3039
7984,Single Family Detached Residential Economy,1801.5
7984,Multi-Family Residential Economy,29590
7992,Multi-Family Residential Luxury,1950.25
7992,Retail Space,5957
7999,Single Family Attached Residential Economy,1230
7999,Single Family Detached Residential Economy,1500.666667
7999,Multi-Family Residential Economy,7211
8000,Single Family Attached Residential Economy,1230
8000,Single Family Detached Residential Economy,1500.666667
8000,Multi-Family Residential Economy,7211
8001,Single Family Attached Residential Economy,1230
8001,Single Family Detached Residential Economy,1500.666667
8001,Multi-Family Residential Economy,7211
8012,Multi-Family Residential Luxury,1950.25
8012,Retail Space,5957
8019,Retail Space,7423
8019,Office Space,2600
8021,Health Care Space,5450
8021,Office Space,9525
8021,Retail Space,30484
8024,Multi-Family Residential Luxury,1950.25
8024,Retail Space,5957
8028,Multi-Family Residential Luxury,1950.25
8028,Retail Space,5957
8056,Single Family Attached Residential Economy,1544
8056,Single Family Detached Residential Economy,371
8056,Single Family Detached Residential Luxury,397
8056,Multi-Family Residential Economy,5540.6
8100,Single Family Attached Residential Economy,1544
8100,Single Family Detached Residential Economy,371
8100,Single Family Detached Residential Luxury,397
8100,Multi-Family Residential Economy,5540.6
8101,Single Family Attached Residential Economy,1544
8101,Single Family Detached Residential Economy,371
8101,Single Family Detached Residential Luxury,397
8101,Multi-Family Residential Economy,5540.6
8102,Single Family Attached Residential Economy,1544
8102,Single Family Detached Residential Economy,371
8102,Single Family Detached Residential Luxury,397
8102,Multi-Family Residential Economy,5540.6
8103,Single Family Attached Residential Economy,1544
8103,Single Family Detached Residential Economy,371
8103,Single Family Detached Residential Luxury,397
8103,Multi-Family Residential Economy,5540.6
8734,Multi-Family Residential Economy,13220
8735,Multi-Family Residential Economy,13220
8736,Multi-Family Residential Economy,13220
8794,Single Family Attached Residential Economy,692
8794,Single Family Detached Residential Economy,296
8794,Single Family Detached Residential Luxury,2549.2
8795,Single Family Attached Residential Economy,692
8795,Single Family Detached Residential Economy,296
8795,Single Family Detached Residential Luxury,2549.2
8796,Single Family Attached Residential Economy,692
8796,Single Family Detached Residential Economy,296
8796,Single Family Detached Residential Luxury,2549.2
8797,Single Family Attached Residential Economy,692
8797,Single Family Detached Residential Economy,296
8797,Single Family Detached Residential Luxury,2549.2
8798,Single Family Attached Residential Economy,692
8798,Single Family Detached Residential Economy,296
8798,Single Family Detached Residential Luxury,2549.2
9674,Single Family Detached Residential Economy,3384.2
9675,Single Family Detached Residential Economy,3384.2
9681,Single Family Detached Residential Economy,3384.2
9683,Single Family Detached Residential Economy,3384.2
9685,Single Family Detached Residential Economy,3384.2
9719,Retail Space,5393
9719,Single Family Detached Residential Economy,13413
9719,Single Family Attached Residential Economy,11537
9728,Single Family Attached Residential Economy,959.8
9728,Single Family Detached Residential Economy,2526.2
9728,Light Industrial Space,433.6
9728,Retail Space,821
9729,Single Family Attached Residential Economy,959.8
9729,Single Family Detached Residential Economy,2526.2
9729,Light Industrial Space,433.6
9729,Retail Space,821
9731,Single Family Attached Residential Economy,959.8
9731,Single Family Detached Residential Economy,2526.2
9731,Light Industrial Space,433.6
9731,Retail Space,821
9732,Single Family Attached Residential Economy,959.8
9732,Single Family Detached Residential Economy,2526.2
9732,Light Industrial Space,433.6
9732,Retail Space,821
9733,Single Family Attached Residential Economy,861
9733,Single Family Detached Residential Economy,9737.666667
9739,Single Family Attached Residential Economy,861
9739,Single Family Detached Residential Economy,9737.666667
9747,Single Family Attached Residential Economy,959.8
9747,Single Family Detached Residential Economy,2526.2
9747,Light Industrial Space,433.6
9747,Retail Space,821
9760,Single Family Attached Residential Economy,861
9760,Single Family Detached Residential Economy,9737.666667
9763,Single Family Detached Residential Economy,4182.25
9768,Single Family Detached Residential Economy,4182.25
11660,Single Family Detached Residential Economy,974
11660,Single Family Attached Residential Economy,9892
11661,Single Family Detached Residential Economy,974
11661,Single Family Attached Residential Economy,9892
11667,Health Care Space,876.4285714
11667,Retail Space,487.8571429
11667,Single Family Detached Residential Economy,895.2857143
11667,Depot Space,0
11667,Post-Secondary Institution Space,0
16183,Single Family Attached Residential Economy,2163.8
16183,Single Family Detached Residential Luxury,5382.8
16183,Single Family Detached Residential Economy,2223.2
16183,Multi-Family Residential Economy,4334.4
16184,Single Family Attached Residential Luxury,422.6
16184,Multi-Family Residential Luxury,3398.4
16184,Single Family Attached Residential Economy,2163.8
16184,Single Family Detached Residential Luxury,5382.8
16184,Single Family Detached Residential Economy,2223.2
16184,Multi-Family Residential Economy,4334.4
16185,Single Family Attached Residential Luxury,422.6
16185,Multi-Family Residential Luxury,3398.4
16185,Single Family Attached Residential Economy,2163.8
16185,Single Family Detached Residential Luxury,5382.8
16185,Single Family Detached Residential Economy,2223.2
16185,Multi-Family Residential Economy,4334.4
16186,Multi-Family Residential Economy,480.5
16186,Single Family Detached Residential Luxury,683.75
16186,Single Family Attached Residential Economy,164.5
16186,Hotel Space,5487.5
16186,Retail Space,1198.25
16187,Multi-Family Residential Economy,480.5
16187,Single Family Detached Residential Luxury,683.75
16187,Single Family Attached Residential Economy,164.5
16187,Hotel Space,5487.5
16187,Retail Space,1198.25
16188,Multi-Family Residential Economy,480.5
16188,Single Family Detached Residential Luxury,683.75
16188,Single Family Attached Residential Economy,164.5
16188,Hotel Space,5487.5
16188,Retail Space,1198.25
16189,Multi-Family Residential Economy,480.5
16189,Single Family Detached Residential Luxury,683.75
16189,Single Family Attached Residential Economy,164.5
16189,Hotel Space,5487.5
16189,Retail Space,1198.25
16587,Single Family Detached Residential Luxury,3351.25
16587,Single Family Attached Residential Economy,592.25
16587,Single Family Detached Residential Economy,1846.25
16587,Multi-Family Residential Economy,28956.75
16590,Single Family Detached Residential Luxury,3351.25
16590,Single Family Attached Residential Economy,592.25
16590,Single Family Detached Residential Economy,1846.25
16590,Multi-Family Residential Economy,28956.75
16646,Single Family Detached Residential Luxury,2017.75
16646,Multi-Family Residential Economy,3745
16646,Multi-Family Residential Luxury,9131.5
16646,Single Family Attached Residential Luxury,3210
16649,Single Family Detached Residential Luxury,2017.75
16649,Multi-Family Residential Economy,3745
16649,Multi-Family Residential Luxury,9131.5
16649,Single Family Attached Residential Luxury,3210
16655,Single Family Detached Residential Luxury,2017.75
16655,Multi-Family Residential Economy,3745
16655,Multi-Family Residential Luxury,9131.5
16655,Single Family Attached Residential Luxury,3210
16658,Single Family Detached Residential Economy,4842.333333
16658,Active Park Space,0
16658,Religious Space,0
16658,Single Family Attached Residential Economy,12390.66667
16658,Multi-Family Residential Economy,9113.666667
16658,Single Family Attached Residential Luxury,7568
16658,Multi-Family Residential Luxury,14471.33333
16658,Single Family Detached Residential Luxury,40892
16659,Single Family Detached Residential Luxury,2017.75
16659,Multi-Family Residential Economy,3745
16659,Multi-Family Residential Luxury,9131.5
16659,Single Family Attached Residential Luxury,3210
16663,Single Family Detached Residential Economy,4842.333333
16663,Active Park Space,0
16663,Religious Space,0
16663,Single Family Attached Residential Economy,12390.66667
16663,Multi-Family Residential Economy,9113.666667
16663,Single Family Attached Residential Luxury,7568
16663,Multi-Family Residential Luxury,14471.33333
16663,Single Family Detached Residential Luxury,40892
16664,Single Family Detached Residential Economy,4842.333333
16664,Active Park Space,0
16664,Religious Space,0
16664,Single Family Attached Residential Economy,12390.66667
16664,Multi-Family Residential Economy,9113.666667
16664,Single Family Attached Residential Luxury,7568
16664,Multi-Family Residential Luxury,14471.33333
16664,Single Family Detached Residential Luxury,40892
17436,Single Family Detached Residential Luxury,289.7142857
17436,Multi-Family Residential Economy,4431.428571
17436,Single Family Attached Residential Economy,1108.285714
17448,Retail Space,2039.5
17452,Retail Space,2039.5
17455,Retail Space,2039.5
17458,Retail Space,2039.5
17465,Single Family Attached Residential Economy,1228.333333
17465,Single Family Detached Residential Luxury,1471.777778
17481,Single Family Attached Residential Economy,1228.333333
17481,Single Family Detached Residential Luxury,1471.777778
17482,Single Family Attached Residential Economy,1228.333333
17482,Single Family Detached Residential Luxury,1471.777778
17483,Single Family Attached Residential Economy,1228.333333
17483,Single Family Detached Residential Luxury,1471.777778
17485,Single Family Attached Residential Economy,1228.333333
17485,Single Family Detached Residential Luxury,1471.777778
17486,Single Family Attached Residential Economy,1228.333333
17486,Single Family Detached Residential Luxury,1471.777778
17487,Single Family Attached Residential Economy,1228.333333
17487,Single Family Detached Residential Luxury,1471.777778
17488,Single Family Attached Residential Economy,1228.333333
17488,Single Family Detached Residential Luxury,1471.777778
14026,Active Park Space,0
14026,Government Operations Space,0
14027,Active Park Space,0
14027,Government Operations Space,0
14028,Active Park Space,0
14028,Government Operations Space,0
14073,Retail Space,312.8
14073,Single Family Attached Residential Economy,385.6
14073,Single Family Detached Residential Luxury,4096.2
14077,Single Family Detached Residential Luxury,3774.333333
14077,Single Family Attached Residential Economy,2717
14077,Multi-Family Residential Economy,2025.333333
14078,Single Family Detached Residential Luxury,3774.333333
14078,Single Family Attached Residential Economy,2717
14078,Multi-Family Residential Economy,2025.333333
14080,Single Family Detached Residential Luxury,3774.333333
14080,Single Family Attached Residential Economy,2717
14080,Multi-Family Residential Economy,2025.333333
14088,Single Family Attached Residential Economy,1579.25
14088,Single Family Detached Residential Luxury,3039.75
14089,Single Family Attached Residential Economy,1579.25
14089,Single Family Detached Residential Luxury,3039.75
14090,Single Family Attached Residential Economy,1579.25
14090,Single Family Detached Residential Luxury,3039.75
14091,Single Family Attached Residential Economy,1579.25
14091,Single Family Detached Residential Luxury,3039.75
14092,Retail Space,312.8
14092,Single Family Attached Residential Economy,385.6
14092,Single Family Detached Residential Luxury,4096.2
14093,Retail Space,312.8
14093,Single Family Attached Residential Economy,385.6
14093,Single Family Detached Residential Luxury,4096.2
14094,Retail Space,312.8
14094,Single Family Attached Residential Economy,385.6
14094,Single Family Detached Residential Luxury,4096.2
14097,Retail Space,312.8
14097,Single Family Attached Residential Economy,385.6
14097,Single Family Detached Residential Luxury,4096.2
15085,Single Family Detached Residential Luxury,169.6
15085,Single Family Attached Residential Luxury,183.6
15085,Retail Space,170
15085,Multi-Family Residential Economy,942.5
15086,Single Family Detached Residential Luxury,169.6
15086,Single Family Attached Residential Luxury,183.6
15086,Retail Space,170
15086,Multi-Family Residential Economy,942.5
15088,Single Family Detached Residential Luxury,169.6
15088,Single Family Attached Residential Luxury,183.6
15088,Retail Space,170
15088,Multi-Family Residential Economy,942.5
15089,Single Family Detached Residential Luxury,169.6
15089,Single Family Attached Residential Luxury,183.6
15089,Retail Space,170
15089,Multi-Family Residential Economy,942.5
15091,Single Family Detached Residential Luxury,169.6
15091,Single Family Attached Residential Luxury,183.6
15091,Retail Space,170
15091,Multi-Family Residential Economy,942.5
15104,Single Family Attached Residential Economy,11420.66667
15104,Single Family Detached Residential Luxury,14527.33333
15104,Multi-Family Residential Economy,88598.66667
15105,Single Family Attached Residential Economy,11420.66667
15105,Single Family Detached Residential Luxury,14527.33333
15105,Multi-Family Residential Economy,88598.66667
15107,Single Family Attached Residential Economy,11420.66667
15107,Single Family Detached Residential Luxury,14527.33333
15107,Multi-Family Residential Economy,88598.66667
15114,Single Family Detached Residential Luxury,5481.5
15114,Single Family Attached Residential Economy,10922.5
15114,Multi-Family Residential Economy,43153
15118,Single Family Detached Residential Luxury,5481.5
15118,Single Family Attached Residential Economy,10922.5
15118,Multi-Family Residential Economy,43153
15128,Single Family Detached Residential Luxury,169.6
15128,Single Family Attached Residential Luxury,183.6
15128,Retail Space,170
15128,Multi-Family Residential Economy,942.5
15129,Single Family Detached Residential Luxury,169.6
15129,Single Family Attached Residential Luxury,183.6
15129,Retail Space,170
15129,Multi-Family Residential Economy,942.5
15130,Single Family Detached Residential Luxury,169.6
15130,Single Family Attached Residential Luxury,183.6
15130,Retail Space,170
15130,Multi-Family Residential Economy,942.5
15131,Single Family Detached Residential Luxury,169.6
15131,Single Family Attached Residential Luxury,183.6
15131,Retail Space,170
15131,Multi-Family Residential Economy,942.5
15132,Single Family Detached Residential Luxury,169.6
15132,Single Family Attached Residential Luxury,183.6
15132,Retail Space,170
15132,Multi-Family Residential Economy,942.5
15439,Single Family Attached Residential Luxury,664.2
15439,Multi-Family Residential Economy,484.8
15439,Single Family Detached Residential Luxury,731.4
15439,Single Family Attached Residential Economy,362
15440,Single Family Attached Residential Luxury,664.2
15440,Multi-Family Residential Economy,484.8
15440,Single Family Detached Residential Luxury,731.4
15440,Single Family Attached Residential Economy,362
15442,Single Family Attached Residential Luxury,664.2
15442,Multi-Family Residential Economy,484.8
15442,Single Family Detached Residential Luxury,731.4
15442,Single Family Attached Residential Economy,362
15443,Single Family Attached Residential Luxury,664.2
15443,Multi-Family Residential Economy,484.8
9058,Health Care Space,384.125
9058,Single Family Detached Residential Economy,420
9058,Single Family Attached Residential Economy,1180.875
9058,Single Family Detached Residential Luxury,2120.875
9058,Multi-Family Residential Economy,3039
9070,Government Operations Space,0
9070,Retail Space,340
9071,Government Operations Space,0
9071,Retail Space,340
9072,Government Operations Space,0
9072,Retail Space,340
9073,Government Operations Space,0
9073,Retail Space,340
9074,Government Operations Space,0
9074,Retail Space,340
9075,Government Operations Space,0
9075,Retail Space,340
9076,Government Operations Space,0
9076,Retail Space,340
9078,Government Operations Space,0
9078,Retail Space,340
9079,Government Operations Space,0
9079,Retail Space,340
9080,Government Operations Space,0
9080,Retail Space,340
9081,Government Operations Space,0
9081,Retail Space,340
9082,Government Operations Space,0
9082,Retail Space,340
9083,Government Operations Space,0
9083,Retail Space,340
9084,Government Operations Space,0
9084,Retail Space,340
9086,Government Operations Space,0
9086,Retail Space,340
9089,Single Family Detached Residential Luxury,2228.7
9090,Single Family Detached Residential Luxury,2228.7
9091,Single Family Detached Residential Luxury,2228.7
9092,Single Family Detached Residential Luxury,2228.7
9093,Single Family Detached Residential Luxury,2228.7
9094,Single Family Detached Residential Luxury,2228.7
9095,Single Family Detached Residential Luxury,2228.7
9097,Single Family Detached Residential Luxury,2228.7
9098,Single Family Detached Residential Luxury,2228.7
9099,Single Family Detached Residential Luxury,2228.7
9194,Health Care Space,0
9194,Retail Space,32056
9970,Single Family Detached Residential Luxury,357.1428571
9970,Single Family Detached Residential Economy,15313.14286
9971,Single Family Detached Residential Luxury,357.1428571
9971,Single Family Detached Residential Economy,15313.14286
9972,Single Family Detached Residential Luxury,357.1428571
9972,Single Family Detached Residential Economy,15313.14286
9973,Single Family Detached Residential Economy,8800.166667
9974,Single Family Detached Residential Economy,8800.166667
9975,Single Family Detached Residential Economy,8800.166667
9978,Single Family Detached Residential Luxury,357.1428571
9978,Single Family Detached Residential Economy,15313.14286
9979,Single Family Detached Residential Economy,8800.166667
9980,Single Family Detached Residential Economy,8800.166667
9981,Single Family Detached Residential Luxury,357.1428571
9981,Single Family Detached Residential Economy,15313.14286
9982,Single Family Detached Residential Luxury,357.1428571
9982,Single Family Detached Residential Economy,15313.14286
9983,Single Family Detached Residential Luxury,357.1428571
9983,Single Family Detached Residential Economy,15313.14286
9984,Single Family Detached Residential Economy,8800.166667
9986,Religious Space,0
9986,Single Family Detached Residential Luxury,280
9986,Single Family Attached Residential Economy,8676.666667
9986,Single Family Detached Residential Economy,10352.66667
9987,Single Family Detached Residential Economy,5634
9987,Single Family Attached Residential Economy,14509
9988,Single Family Detached Residential Economy,5411.5
9998,Single Family Detached Residential Economy,5411.5
10010,Religious Space,0
10010,Single Family Detached Residential Luxury,280
10010,Single Family Attached Residential Economy,8676.666667
10010,Single Family Detached Residential Economy,10352.66667
10011,Religious Space,0
10011,Single Family Detached Residential Luxury,280
10011,Single Family Attached Residential Economy,8676.666667
10011,Single Family Detached Residential Economy,10352.66667
10021,Single Family Detached Residential Economy,5634
10021,Single Family Attached Residential Economy,14509
10062,Health Care Space,0
10062,Religious Space,0
10062,Spaced Rural Residential Economy,0
10062,Multi-Family Residential Economy,20474
10062,Single Family Detached Residential Economy,38343
10063,Health Care Space,0
10063,Religious Space,0
10063,Spaced Rural Residential Economy,0
10063,Multi-Family Residential Economy,20474
10063,Single Family Detached Residential Economy,38343
10871,Single Family Detached Residential Economy,12915.5
10872,Retail Space,1031.5
10872,Single Family Attached Residential Economy,1509
10872,Single Family Detached Residential Economy,10785
10873,Retail Space,1031.5
10873,Single Family Attached Residential Economy,1509
10873,Single Family Detached Residential Economy,10785
10883,Single Family Detached Residential Economy,12915.5
10892,Single Family Detached Residential Economy,32966
10945,Single Family Detached Residential Economy,9062
10957,Single Family Detached Residential Economy,345.1666667
10958,Single Family Detached Residential Economy,345.1666667
