TAZ,Commodity,Quantity
6631,Single Family Detached Residential Economy,13334
1690,Single Family Detached Residential Economy,76812
22926,Office Space,157232
11057,Single Family Detached Residential Economy,19408
2332,Single Family Attached Residential Economy,23465
11349,Single Family Attached Residential Economy,205238
14108,Single Family Detached Residential Economy,105085
2312,Retail Space,4400
10741,Multi-Family Residential Economy,79914
22023,Spaced Rural Residential Economy,4818
197,Single Family Detached Residential Economy,1274
997,Single Family Detached Residential Economy,2039
8794,Spaced Rural Residential Economy,7714
14039,Single Family Attached Residential Economy,8630
3734,Retail Space,3791
7431,Single Family Detached Residential Economy,52525
934,Health Care Space,25532
7605,Single Family Attached Residential Economy,8203
16798,Single Family Detached Residential Economy,12322
17122,Primary Schools,48501
1171,Single Family Attached Residential Economy,2684
21271,Single Family Detached Residential Economy,12343
14592,Multi-Family Residential Economy,12022
13180,Office Space,2055
14369,Single Family Detached Residential Economy,46052
9250,Retail Space,16003
18457,Light Industrial Space,604
2642,Multi-Family Residential Economy,249964
3580,Single Family Detached Residential Economy,1200
3754,Single Family Attached Residential Economy,43940
6975,Light Industrial Space,1397527
12947,Single Family Detached Residential Economy,15467
19381,Single Family Detached Residential Economy,42502
213,Multi-Family Residential Economy,8256
13101,Retail Space,33865
4012,Single Family Detached Residential Economy,17711
15093,Single Family Attached Residential Economy,13353
11418,Single Family Detached Residential Economy,56105
17852,Single Family Detached Residential Economy,72286
14986,Active Park Space,2632
2225,Single Family Attached Residential Economy,6757
19637,Single Family Attached Residential Economy,20090
4064,Multi-Family Residential Economy,71532
14001,Single Family Detached Residential Economy,26549
13671,Single Family Attached Residential Economy,1415
8691,Primary Schools,48696
15482,Spaced Rural Residential Economy,24845
5276,Single Family Attached Residential Economy,2713
8953,Single Family Detached Residential Economy,50592
9753,Single Family Detached Residential Economy,41725
7792,Single Family Detached Residential Economy,8907
19120,Single Family Detached Residential Economy,7766
3841,Retail Space,7850
9459,Single Family Attached Residential Economy,2301
9155,Spaced Rural Residential Economy,2872
2903,Multi-Family Residential Economy,25044
3493,Single Family Attached Residential Economy,17323
20133,Spaced Rural Residential Economy,18240
11286,Government Operations Space,10000
5902,Single Family Detached Residential Economy,201072
320,Multi-Family Residential Economy,106008
19742,Single Family Detached Residential Economy,20456
12840,Single Family Detached Residential Economy,228206
21223,Spaced Rural Residential Economy,22116
16282,Spaced Rural Residential Economy,15083
16643,Spaced Rural Residential Economy,857
22332,Single Family Detached Residential Economy,2764
10209,Spaced Rural Residential Economy,1824
5909,Single Family Detached Residential Economy,25951
3948,Single Family Detached Residential Economy,99672
13564,Single Family Attached Residential Economy,15525
8960,Single Family Detached Residential Economy,43317
2058,Single Family Detached Residential Economy,19516
18327,Single Family Detached Residential Economy,194625
251,Retail Space,38046
3435,Multi-Family Residential Economy,25353
696,Single Family Attached Residential Economy,11014
22581,Single Family Attached Residential Economy,5757
22384,Spaced Rural Residential Economy,7004
10373,Multi-Family Residential Economy,16579
10259,Single Family Attached Residential Economy,6483
22586,Single Family Detached Residential Economy,5696
4202,Single Family Detached Residential Economy,67767
10727,Single Family Attached Residential Economy,3312
10352,Single Family Detached Residential Economy,12538
3485,Single Family Detached Residential Economy,44743
14813,Single Family Detached Residential Economy,37396
9214,Single Family Detached Residential Economy,85130
2954,Single Family Attached Residential Economy,7929
3568,Single Family Detached Residential Economy,7674
9542,Single Family Attached Residential Economy,2698
2403,Single Family Attached Residential Economy,13450
10224,Mobile Home Residential,201952
5847,Multi-Family Residential Economy,238056
4119,Single Family Detached Residential Economy,234399
16756,Religious Space,5902
20062,Spaced Rural Residential Economy,3952
12080,Multi-Family Residential Economy,104664
11069,Single Family Detached Residential Economy,43289
292,Single Family Detached Residential Economy,28922
752,Multi-Family Residential Economy,52163
6900,Single Family Attached Residential Economy,11624
19687,Multi-Family Residential Economy,13330
2478,Retail Space,7764
11223,Spaced Rural Residential Economy,2300
10672,Spaced Rural Residential Economy,2980
375,Single Family Detached Residential Economy,10504
17390,Religious Space,31851
18042,Single Family Detached Residential Economy,187588
4285,Single Family Detached Residential Economy,203848
6849,Primary Schools,77110
15216,Spaced Rural Residential Economy,18437
4836,Single Family Detached Residential Economy,67604
3112,Retail Space,83994
2020,Multi-Family Residential Economy,26959
9424,Office Space,36230
18125,Single Family Detached Residential Economy,308728
10518,Single Family Detached Residential Economy,56055
14388,Single Family Attached Residential Economy,11606
7249,Single Family Attached Residential Economy,15626
13837,Single Family Attached Residential Economy,2057
13379,Single Family Detached Residential Economy,24779
11742,Primary Schools,46292
11572,Spaced Rural Residential Economy,18542
5322,Religious Space,2500
3746,Retail Space,5701
17503,Retail Space,33079
2842,Office Space,109634
19659,Single Family Detached Residential Economy,33858
13462,Single Family Detached Residential Economy,24036
724,Single Family Detached Residential Economy,21737
2103,Multi-Family Residential Economy,9588
2737,Multi-Family Residential Economy,193419
3559,Office Space,2198
2046,Light Industrial Space,3668
22847,Retail Space,7042
2186,Multi-Family Residential Economy,31407
7,Single Family Detached Residential Economy,49660
18942,Single Family Detached Residential Economy,83311
18849,Single Family Attached Residential Economy,75456
2340,Government Operations Space,3700
18474,Single Family Detached Residential Economy,76173
2925,Office Space,2330
3829,Retail Space,27242
13370,Office Space,31514
2320,Single Family Attached Residential Economy,5631
19428,Spaced Rural Residential Economy,1472
14730,Single Family Detached Residential Economy,121673
9131,Single Family Detached Residential Economy,38289
14554,Single Family Attached Residential Economy,10692
2237,Single Family Attached Residential Economy,101800
19020,Retail Space,33215
17294,Multi-Family Residential Economy,56694
10196,Government Operations Space,7500
15022,Single Family Attached Residential Economy,146054
14013,Single Family Detached Residential Economy,3824
8414,Single Family Detached Residential Economy,631184
7692,Retail Space,3527
14471,Single Family Attached Residential Economy,3310
18937,Retail Space,90452
14096,Single Family Detached Residential Economy,47169
14004,Mobile Home Residential,1343
11648,Multi-Family Residential Economy,284678
1603,Single Family Attached Residential Economy,2550
13486,Single Family Detached Residential Economy,21219
13241,Multi-Family Residential Economy,27640
9789,Retail Space,2298
8346,Mobile Home Residential,684178
19920,Single Family Detached Residential Economy,5545
19827,Single Family Attached Residential Economy,2672
13569,Single Family Detached Residential Economy,28491
1996,Multi-Family Residential Economy,12271
19646,Government Operations Space,4348
12301,Single Family Detached Residential Economy,298801
18113,Retail Space,81020
19744,Single Family Attached Residential Economy,25668
13861,Single Family Attached Residential Economy,8576
6702,Single Family Detached Residential Economy,76876
819,Single Family Detached Residential Economy,15029
525,Single Family Attached Residential Economy,39388
11596,Single Family Detached Residential Economy,23545
205,Health Care Space,23730
114,Single Family Detached Residential Economy,47245
7253,Single Family Detached Residential Economy,41607
11679,Single Family Detached Residential Economy,125292
442,Single Family Attached Residential Economy,10310
16774,Retail Space,1194
7344,Single Family Attached Residential Economy,12251
2958,Single Family Detached Residential Economy,67492
18386,Light Industrial Space,84162
14991,Single Family Detached Residential Economy,102852
10589,Retail Space,64565
2895,Health Care Space,432
9392,Single Family Detached Residential Economy,964
14286,Single Family Detached Residential Economy,2769
9566,Single Family Attached Residential Economy,8924
20323,Spaced Rural Residential Economy,7419
9943,Single Family Detached Residential Economy,46924
