Activity,ZoneNumber,Quantity,TechnologyLogsum,SizeUtility,ZoneConstant,Constrained,ConstraintValue,LocationUtility,Size
Agriculture,1,1609.7279166889662,2.0081523172025104,0.6269096296236784,0.0,false,0.0,2.635061946826189,528.0000066161156
Agriculture,2,795355.2785030921,1.9961136623969844,1.2592206581449499,0.0,false,0.0,3.2553343205419343,294256.3430175781
Agriculture,3,425152.98455768905,2.0016538599678633,1.1910464767531845,0.0,false,0.0,3.192700336721048,148815.828125
Agriculture,4,4900014.056810768,1.976830750748619,1.460324014473759,0.0,false,0.0,3.437154765222378,2198399.4805784225
Agriculture,5,18603.99369626299,2.009714571566315,0.8700784856253208,0.0,false,0.0,2.8797930571916357,6007.625489830971
Agriculture,6,404851.80578358396,2.0031462457045204,1.1846612930846152,0.0,false,0.0,3.1878075387891354,139610.67443847656
Agriculture,7,4038714.1143982112,1.9810481919636596,1.4367754011531053,0.0,false,0.0,3.417823593116765,1737145.855600059
Agriculture,8,333319.7573403962,2.0014515353031235,1.1669141207866864,0.0,false,0.0,3.1683656560898097,116907.8396244049
Agriculture,9,610580.0845782546,1.993951813019189,1.234944563281835,0.0,false,0.0,3.228896376301024,230832.0416958332
Agriculture,10,45886.69832826127,2.009771292049393,0.9603016657195751,0.0,false,0.0,2.970072957768968,14809.389099121094
Agriculture,11,41272.73657339416,2.0086417216641306,0.9508339233340491,0.0,false,0.0,2.9594756449981796,13471.602539539337
Agriculture,12,534316.9325098877,1.9990341598549186,1.2165201870320754,0.0,false,0.0,3.215554346886994,191990.63433611393
Agriculture,13,462735.088437848,2.00404947234313,1.1971214303098197,0.0,false,0.0,3.20117090265295,158136.5695810318
Agriculture,14,170468.5989363198,2.008330493663055,1.0929800472062385,0.0,false,0.0,3.101310540869293,55815.141916155815
Agriculture,15,5506.360584777303,2.01008454440533,0.7479612749340653,0.0,false,0.0,2.7580458193393955,1771.5546073913574
Agriculture,16,690.9730156822263,2.007555415472277,0.542934563758143,0.0,false,0.0,2.55048997923042,228.00000196695328
Agriculture,17,1767654.8044791277,1.9799398982580358,1.3552564294611138,0.0,false,0.0,3.3351963277191494,768783.2080329657
Agriculture,18,2788271.5856354353,1.9798932462270837,1.4008799016608895,0.0,false,0.0,3.3807731478879735,1213232.7105116844
Agriculture,19,2290624.4074326474,1.9831538644969389,1.3779595380805447,0.0,false,0.0,3.361113402577484,964722.1204838753
Agriculture,20,3706305.304331827,1.9748779716645073,1.4343565367292703,0.0,false,0.0,3.4092345083937774,1695630.7734389305
Agriculture,21,2452066.5653247656,1.9818984708415124,1.3860256035023983,0.0,false,0.0,3.367924074343911,1045761.6557011604
Agriculture,22,3921593.9022029242,1.9730851217044034,1.4417956540195074,0.0,false,0.0,3.414880775723911,1826581.125758171
Agriculture,23,322017.0687143096,2.0018633662406002,1.163052518955533,0.0,false,0.0,3.164915885196133,112479.37939453125
Agriculture,24,3232604.5315806177,1.9785578869258942,1.4170018877945791,0.0,false,0.0,3.395559774720473,1425479.6021118164
Agriculture,25,1346512.9693330664,1.9893137259685414,1.318669058379708,0.0,false,0.0,3.3079827843482494,533220.6440429688
Agriculture,26,180830.95451174333,2.0053151800009306,1.101896514126919,0.0,false,0.0,3.10721169412785,61020.49932861328
Agriculture,27,1865999.66789599,1.988835006248213,1.3517756440341004,0.0,false,0.0,3.340610650282313,742483.88100636
Agriculture,28,1565917.5613848185,1.9873844027019745,1.335693750474375,0.0,false,0.0,3.3230781531763496,632185.0966802835
Agriculture,29,390189.79593596794,2.000113498979411,1.1840052586589196,0.0,false,0.0,3.1841187576383305,138697.77808350325
Agriculture,30,22467.487576168623,2.0073530717442707,0.8913092849530803,0.0,false,0.0,2.898662356697351,7428.601150512695
Agriculture,31,4656976.353570617,1.9757759523763263,1.4562916440988596,0.0,false,0.0,3.4320675964751857,2111515.387892008
Agriculture,32,1173072.863592427,1.9895403583331817,1.304653268008434,0.0,false,0.0,3.294193626341616,463486.56615531445
Agriculture,33,25097.472848116977,2.008160561156886,0.9015715845550301,0.0,false,0.0,2.9097321457119163,8231.436687350273
Agriculture,34,283515.68878277304,2.0013803850278236,1.1508017910372457,0.0,false,0.0,3.152182176065069,99510.44677734375
Agriculture,35,2681971.8703147965,1.9765951437042357,1.4002910437812464,0.0,false,0.0,3.376886187485482,1206109.4875107408
Agriculture,36,2593250.2706389637,1.977822529173803,1.3956996306329037,0.0,false,0.0,3.373522159806707,1151984.0864868164
Agriculture,37,4171327.9807046605,1.9752715030672605,1.4457828993415354,0.0,false,0.0,3.421054402408796,1900882.8486769795
Agriculture,38,2317352.681116367,1.9716221465095516,1.390651356169742,0.0,false,0.0,3.362273502679294,1095272.2951592207
Agriculture,39,3367795.2058000625,1.9716036853601846,1.428053101342506,0.0,false,0.0,3.399656786702691,1592046.754603982
Agriculture,40,594.7524067917483,2.009744883869777,0.5257495377615717,0.0,false,0.0,2.5354944216313484,192.0000010728836
Agriculture,41,95646.76209090558,2.0064364418382095,1.0370851724686314,0.0,false,0.0,3.043521614306841,31915.64874267578
Agriculture,42,585.870558211296,2.0082402517547155,0.5257495377615717,0.0,false,0.0,2.533989789516287,192.0000010728836
Agriculture,43,619.7120592824965,2.0077933966282253,0.5318120003778324,0.0,false,0.0,2.5396053970060577,204.00000202655792
Agriculture,44,456.7479976323874,2.012111752882468,0.496981330288737,0.0,false,0.0,2.509093083171205,144.00000047683716
Agriculture,45,1197.5141940310466,2.0073387982242035,0.5981414220436004,0.0,false,0.0,2.605480220267804,396.00000363588333
Agriculture,46,6.16255845612913E8,1.9578577197905371,1.962739459156257,0.0,false,0.0,3.920597178946794,3.3424826779271746E8
Agriculture,47,161199.2404746394,2.008590840916383,1.08712870085941,0.0,false,0.0,3.095719541775793,52642.91857910156
Agriculture,48,50538.88639214406,2.0101672689874377,0.9695624677047313,0.0,false,0.0,2.979729736692169,16246.368356823921
Agriculture,49,178196.7372703715,2.006738153364108,1.0990060971250892,0.0,false,0.0,3.105744250489197,59281.99843841791
Agriculture,50,239090.26710873132,2.002361791527126,1.1327777551394298,0.0,false,0.0,3.135139546666556,83098.1361336708
Agriculture,51,220.0826053539568,2.0084135842908046,0.42766661322615324,0.0,false,0.0,2.436080197516958,72.00000095367432
Agriculture,52,294.8695649292255,2.0088983927270903,0.4564348198918417,0.0,false,0.0,2.465333212618932,96.00000071525574
